st,ct,as,sa
57,965,Nainipatal,262501
57,965,Nainisaini,262501
57,965,Nanoli,262522
57,965,Narayan Nagar,262550
57,965,Nwalichainpur,262541
57,965,Ogla,262543
57,965,Okhrani,262533
57,965,Pabhain,262501
57,965,Pamsyari,262551
57,965,Pamtori,262552
57,965,Pangla,262547
57,965,Panthgaon,262576
57,965,Panthuri,262521
57,965,Panthyali,262551
57,965,Patet,262552
57,965,Pathrauli,262542
57,965,Paun,262502
57,965,Pawwadhar,262522
57,965,Payyanpauri,262576
57,965,Pipali Jabuka,262531
57,965,Pithoragarh,262501
57,965,Pokhri,262522
57,965,Quitarh,262521
57,965,Quiti,262575
57,965,Raitoli,262531
57,965,Ram Mandir,262534
57,965,Ramtoli,262545
57,965,Ranthi,262554
57,965,Ranthi Boragaon,262545
57,965,Rarikhunti,262529
57,965,Rasaipata,262542
57,965,Rautera,262522
57,965,Rawalkhet,262522
57,965,Ringu Chilkote,262554
57,965,Roripali,262501
57,965,Rungari,262532
57,965,Sainranthi,262553
57,965,Sakun,262521
57,965,Saliya,262532
57,965,Samkote,262555
57,965,Sandeo,262551
57,965,Satgarh,262501
57,965,Satshilling,262501
57,965,Saugaon,262551
57,965,Sel,262529
57,965,Sela,262545
57,965,Selavan,262552
57,965,Selmali,262555
57,965,Seloni,262521
57,965,Sera,262555
57,965,Serikumdar,262521
57,965,Sevila,262554
57,965,Shilling,262530
57,965,Shillingatoli,262530
57,965,Shivalaya,262501
57,965,Siltham,262501
57,965,Simalkote,262520
57,965,Simkhola,262547
57,965,Singali,262543
57,965,Sinichama,262551
57,965,Sinlekh,262522
57,965,Sirkha,262547
57,965,Sirkuch,262521
57,965,Sosa,262547
57,965,Surauli,262542
57,965,Suwa,262545
57,965,Syankuri,262545
57,965,Tarigaon,262552
57,965,Tawaghat,262545
57,965,Teejam,262545
57,965,Tham,262544
57,965,Tharkote,262530
57,965,Tharp,262531
57,965,Timta,262522
57,965,Titari,262543
57,965,Totanaula,262501
57,965,Tripuradevi,262531
57,965,Uchhaiti,262554
57,965,Udiyari,262531
57,965,Urai,262542
57,965,Walthi,262554
