st,ct,as,sa
52,1051,Deolikallan,341507
52,1051,Deu,341001
52,1051,Dhadhariyakallan,341028
52,1051,Dhadhota,341512
52,1051,Dhadhwara,341511
52,1051,Dhananwa,341319
52,1051,Dhandhalas,341510
52,1051,Dhandholi,341520
52,1051,Dhaneriya,341510
52,1051,Dhanipura,341031
52,1051,Dhingasari,341517
52,1051,Dholia,341304
52,1051,Dhurila,341317
52,1051,Dhyawa,341303
52,1051,Didiyakallan,341027
52,1051,Dikawa,341506
52,1051,Dildhani,341505
52,1051,Dindarpura,341551
52,1051,Dobarikallan,341504
52,1051,Dobariya,341504
52,1051,Dodiyana,341031
52,1051,Dotina,341503
52,1051,Dudoli,341316
52,1051,Dugastau,341023
52,1051,Dugoli,341023
52,1051,Dugorachala,341503
52,1051,Dujar,341306
52,1051,Firwasi,341303
52,1051,Gachhipura So,341504
52,1051,Gagrana,341510
52,1051,Gajoo,341024
52,1051,Gangawa,341512
52,1051,Ganthilasar,341001
52,1051,Ganthiya,341510
52,1051,Gaondi,341319
52,1051,Gawalu,341028
52,1051,Gawardi,341510
52,1051,Gedakallan,341520
52,1051,Gelasar,341517
52,1051,Geloli,341024
52,1051,Genana,341317
52,1051,Gingaliya,341520
52,1051,Girroda Mitha,341303
52,1051,Gogelao,341001
52,1051,Gorau,341316
52,1051,Govindi,341509
52,1051,Gowankallan,341028
52,1051,Gudha Jodhan,341023
52,1051,Gudhabhagwandas,341001
52,1051,Gugaryali,341023
52,1051,Gular,341501
52,1051,Gunawati,341505
52,1051,Hariyajun,341508
52,1051,Harnawa,341501
52,1051,Harsore Dso,341515
52,1051,Heerani,341508
52,1051,Hudeel,341509
52,1051,Hudia,341502
52,1051,I.a.bidiad Dso,341542
52,1051,I.a.nawacity Ndtso,341509
52,1051,Inana,341026
52,1051,Indawar,341510
52,1051,Indokha,341319
52,1051,Itawalakha,341504
52,1051,Jabdinagar,341509
52,1051,Jael S.o.,341023
52,1051,Jakhali,341502
52,1051,Jakhara,341301
52,1051,Jalaniyasar,341001
52,1051,Jalsu Nanak,341514
52,1051,Jalsu Rs,341514
52,1051,Jalsukallan,341514
52,1051,Janana,341028
52,1051,Janewa,341001
52,1051,Janjila,341501
52,1051,Jaroda,341511
52,1051,Jasnagar Dso,341518
52,1051,Jaswantabad,341518
52,1051,Jaswantgarh So,341304
52,1051,Jatawas,341513
52,1051,Jhalara,341512
52,1051,Jhareli,341022
52,1051,Jharisara,341001
52,1051,Jharod,341506
52,1051,Jhintiya,341513
52,1051,Jijoth,341519
52,1051,Jiliya,341508
52,1051,Jiwadiya,341502
52,1051,Jochina,341023
52,1051,Jodhiyasi,341001
52,1051,Jogimagara,341511
52,1051,Jusari,341505
52,1051,Jusariya,341502
52,1051,Kalri,341001
52,1051,Kalwani,341303
52,1051,Kameria,341022
52,1051,Kankariya,341508
52,1051,Kantiya,341025
52,1051,Kanwariyat,341510
52,1051,Karlu,341026
52,1051,Karnu,341001
52,1051,Kasari,341301
52,1051,Kasnau,341024
52,1051,Kasumbi,341304
52,1051,Kerap,341305
52,1051,Khakharki,341510
52,1051,Khakholi,341506
52,1051,Khamiyad,341317
52,1051,Khanpur',341512
52,1051,Khanwar,341027
52,1051,Khardiya,341504
52,1051,Kharesh,341318
52,1051,Kharikaramsota,341001
52,1051,Khariya,341551
52,1051,Kharnal,341001
52,1051,Kharwaliya,341319
52,1051,Khatiyabasani,341303
52,1051,Khatora,341025
52,1051,Kheduli,341511
