st,ct,as,sa
56,922,Ahorwa,222135
56,922,Badiapur,222125
56,922,Baksa,222108
56,922,Balwarganj,222201
56,922,Banreri,222127
56,922,Baragaon,222102
56,922,Barsathi,222162
56,922,Bazar,222128
56,922,Belwai,222101
56,922,Bhawani,222135
56,922,Chandwak,222129
56,922,College Colony,222001
56,922,Dharwapur,222107
56,922,Fatehganj,222132
56,922,Gaurabadshahpur,222133
56,922,Ghanshyampur,222111
56,922,Gulzarganj,222135
56,922,I I T Siddiqpur,222110
56,922,Jalalpur Jaunpur,222136
56,922,Jamalpur,222137
56,922,Jaunpur,222002
56,922,Jaunpur H O,222001
56,922,Kajgaon,222138
56,922,Kherisarai,222139
56,922,Khutahan,223104
56,922,Kirarat,222142
56,922,Kuddupur,222104
56,922,Kutchery,222002
56,922,Kutirchakey,222146
56,922,Leorua,222148
56,922,Machhlishahar,222143
56,922,Maharajganj (janupur),222145
56,922,Mani Kalan,222113
56,922,Mariahu,222161
56,922,Mirganj (jaunpur),222165
56,922,Mohiuddin,223103
56,922,Muftiganj,222170
56,922,Mungrabadshahpur,222202
56,922,Pasara,222172
56,922,Patti Narendra,223102
56,922,Pilkichha,223107
56,922,Ram Dayalganj,222105
56,922,Ramnagar With Marwa,222103
56,922,Rampur (jaunpur),222203
56,922,Rasmandal,222001
56,922,S R G Degree College Dobh,222149
56,922,Sarai,223103
56,922,Sarai Harkhoo,222141
56,922,Sarai Khwaja,222112
56,922,Sarpata Bara,223106
56,922,Shahganj (janupur),223101
56,922,Shahganj S Mill,223101
56,922,Singhramau,222175
56,922,Soetha Kalan,223105
56,922,T D College,222001
56,922,Trilochan,222102
56,922,Umarpur,222001
56,922,Zafrabad,222180
56,922,Aara,222133
56,922,Adhanpur,223102
56,922,Adiar,222203
56,922,Agraura,222141
56,922,Ajoshi,222161
56,922,Alaiya,222201
56,922,Amahit,222142
56,922,Amai,222165
56,922,Anguli,223104
56,922,Arand,222139
56,922,Argupur Kala,222101
56,922,Asaropur,222145
56,922,Asbaranpur,222136
56,922,Ashawan,222203
56,922,Aurahi,222001
56,922,Auraila,222105
56,922,Ayurved Vishwavidyalay,222139
56,922,Babhaniyaw,222165
56,922,Badalapur Khurd,222141
56,922,Baderi,222127
56,922,Badkhin,222203
56,922,Badlapur,222125
56,922,Baghendra,222133
56,922,Baharipur,222175
56,922,Bakarabad,222136
56,922,Bami,222143
56,922,Baneora,222128
56,922,Bangaonpatti,222125
56,922,Banidih,222203
56,922,Barawan,222143
56,922,Barigaon Newada,222161
56,922,Barigaondih,222165
56,922,Barji,222145
56,922,Barpur,222109
56,922,Basaratpur,222001
56,922,Batnahit,222202
56,922,Bazar Arasia,223103
56,922,Bazar Neorhia,222128
56,922,Beerampur,222170
56,922,Behra,222181
56,922,Belasin,222143
56,922,Belaunakala,222162
56,922,Belawa Bazar,222161
56,922,Belawan,222109
56,922,Belgahan,222161
56,922,Belwar,222201
56,922,Bhadeora,222133
56,922,Bhagasa,223102
56,922,Bhagmalpur,223104
56,922,Bhakura,222001
56,922,Bhannaur,222162
56,922,Bhawaniganj,222128
56,922,Bhiduna,222165
56,922,Bhikhpur,222202
56,922,Bhikhpur Kala,222143
56,922,Bhilampur,222201
56,922,Bhiura,222203
56,922,Birbhanpur,222109
56,922,Biri,222129
56,922,Bishunpur Majhwara,222136
56,922,Bodari,222149
56,922,Brahmanpur,222148
56,922,Budhhipur,222128
56,922,Bujurga,222161
56,922,Buxa,222108
56,922,Chakara,222149
56,922,Chandepur,222129
56,922,Chhangapur,222137
56,922,Chhatai Kala,223101
56,922,Chitako,222129
56,922,Chorari,222161
56,922,Chorsand,222133
56,922,Civil Court Ndtso,222002
56,922,Collectrate Compound,222002
56,922,Dakkhinpatti Ranno,222109
56,922,Damarua,222135
56,922,Damodara,222137
56,922,Dan,222202
56,922,Dariaoganj,222109
56,922,Daudi,222161
56,922,Deduana,222142
56,922,Dehari,223103
56,922,Dhanethu,222128
56,922,Dhema,222125
56,922,Dhirajpur,222132
56,922,Dihiya,223104
56,922,Dilla Ka Pura,222142
56,922,Dubepur,222136
56,922,Dukhaipur Sambalshah,223105
56,922,Gairwah,223103
56,922,Gajendrapur,223104
56,922,Gandhauna,222203
56,922,Garaila,222001
56,922,Gareriha,222145
56,922,Garhabaghrai,222109
56,922,Gariaon,222204
56,922,Gaurapatti,222162
56,922,Ghagharia,222143
56,922,Ghuripur,222201
56,922,Gobara,222129
56,922,Gonapur,222144
56,922,Gonauli,222175
56,922,Gopalapur,222137
56,922,Gothaon,222162
56,922,Gulalpur,222139
56,922,Gurbari,223103
56,922,Gutwan,222136
56,922,Harbaspur,222001
56,922,Haripur,222146
56,922,Hauz,222180
56,922,Hindi Baghaila,222001
56,922,Hisampur,222129
56,922,I.t.i.siddikpur,222110
56,922,Imalo,222180
56,922,Itaha,222144
56,922,Itaye,222161
56,922,Jagarnathpur,222161
56,922,Jaigahan,222139
56,922,Jaigopalganj,222142
56,922,Jamalapur,222137
56,922,Jamaupatti,222125
56,922,Jamdahan,222139
56,922,Jamua,222127
56,922,Jamuhai,222001
56,922,Jamunia,223103
56,922,Jangipur Khurd,222001
56,922,Japtapur,222139
56,922,Jaunpur Kty.,222002
56,922,Jiaramau,222161
56,922,Kabulpur,222180
