st,ct,as,sa
49,788,Sikarpai,765017
49,788,Singari,765016
49,788,Siriguda,765026
49,788,Sirigumma,765017
49,788,Siripai,765015
49,788,Sulava,765002
49,788,Sunger,765015
49,788,Suri,765017
49,788,Tabalaguda,765025
49,788,Taribili,765022
49,788,Tembaguda,765025
49,788,Tiitmari,765033
49,788,Tikiri,765015
49,788,Todama,765002
49,788,Tolana,765022
49,788,Turaighati,765015
49,789,Agalpur,768047
49,789,Ainlapada,768219
49,789,Ainthapali,768004
49,789,Alind Colony Hirakud,768016
49,789,Ambabhona,768031
49,789,Attabira,768027
49,789,Bagdehi,768220
49,789,Bamra,768221
49,789,Bamra Basti,768221
49,789,Baragarh Bazar,768028
49,789,Baragarh Court,768028
49,789,Baragarh Katapali,768046
49,789,Baragarh Panchayat Colleg,768028
49,789,Baragarh Road R S,768028
49,789,Baraipali,768150
49,789,Barbazar,768001
49,789,Bardol,768038
49,789,Bargarh H O,768028
49,789,Barkote,768110
49,789,Barpali,768029
49,789,Barpali Bazar,768029
49,789,Belpahar,768218
49,789,Belpahar R S,768217
49,789,Bhatli,768030
49,789,Bheden,768104
49,789,Bhojpur,768223
49,789,Bhukta,768045
49,789,Bijeipur,768032
49,789,Birsurendra Sai Nagar,768001
49,789,Brajaraj Nagar,768216
49,789,Budharaja (sanbalpur),768004
49,789,Burla,768017
49,789,Charmal,768117
49,789,Chiplima,768026
49,789,Deogaon,768054
49,789,Deogarh,768108
49,789,Dhama,768113
49,789,Dungri,768041
49,789,Engineering College,768018
49,789,Gaisilet,768037
49,789,Garposh,768224
49,789,Ghess,768034
49,789,Godbhaga,768111
49,789,Gogua,768114
49,789,Gohira Damsite,768121
49,789,Golebazar,768001
49,789,Gondturum,768115
49,789,Gourpati,768112
49,789,Hirakud,768016
49,789,Industrial Estate Jharsuguda,768205
49,789,Jagadalpur,768051
49,789,Jamankira,768107
49,789,Jamla,768049
49,789,Jharbandh,768042
49,789,Jharsuguda,768201
49,789,Jharsuguda H O,768201
49,789,Jharuapara,768001
49,789,Jujumura,768105
49,789,Jyoti Vihar,768019
49,789,Kadobahal,768044
49,789,Kalimandir Road (jharsu-3,768203
49,789,Kesiabahal,768228
49,789,Khetrajpur (sambalpur-3),768003
49,789,Khetrajpur Market,768003
49,789,Kolabira,768213
49,789,Kuchinda,768222
49,789,Kumbhari,768043
49,789,Kusumi (sambalpur),768227
49,789,Laikera,768215
49,789,Lakhanpur,768053
49,789,Lamptibahal,768230
49,789,Lapanga,768232
49,789,Larambha,768102
49,789,Laumunda,768048
49,789,Loida,768214
49,789,Mahulpalli,768231
49,789,Malatigunderpur,768116
49,789,Mandosil,768050
49,789,Maneswar,768120
49,789,Medical College Burla,768017
49,789,Melchhamunda,768035
49,789,Modipara (sambalpur-2),768002
49,789,Motijharan,768001
49,789,Naktideul,768118
49,789,O M P Line (jharsuguda-4),768204
49,789,Paikamal,768039
49,789,Panchagaon,768226
49,789,Purunagarh,768119
49,789,R R I Garmunda,768151
49,789,Rairakhole,768106
49,789,Rajbersambar,768036
49,789,Rajpur,768229
49,789,Rampur Colliery,768225
49,789,Reamal,768109
49,789,Remed,768101
49,789,Remunda,768103
49,789,Rengali,768212
49,789,Rly Colony Jharsuguda,768201
49,789,Sakhigopinath,768001
49,789,Sambalpur Court,768001
49,789,Sambalpur H O,768001
49,789,Sarbahal,768201
49,789,Sohella,768033
49,789,Station Road,768201
49,789,Stn Road Brajaraj Nagar,768216
49,789,Store Quarry,768052
49,789,Talpatia,768211
49,789,Tora,768040
49,789,A.katapali Bo,768006
49,789,Ainthapali Ndt So,768004
49,789,Alind Colony Ndt So,768016
49,789,Amkuni Bo,768113
49,789,Ardabahal Bo,768222
49,789,Babu Nikitimal Bo,768228
49,789,Babuchipidihi Ho,768221
49,789,Badapada Bo,768221
49,789,Badasahir Bo,768112
49,789,Badbahal Bo,768227
49,789,Badrama Bo,768107
49,789,Baduapali Bo,768113
49,789,Badumermunda Bo,768221
49,789,Baham Bo,768112
49,789,Baijamunda Pssk,768006
49,789,Baliturei,768228
49,789,Bamandagarh Bo,768107
49,789,Bamphei Bo,768221
49,789,Bamra So,768221
49,789,Bamrabasti Bo,768221
49,789,Banke Bo,768227
49,789,Bansajal Bo,768105
49,789,Barbazar Bo,768006
49,789,Bareipali Bo,768006
49,789,Bargaon Bo,768113
49,789,Barhamundi Bo,768107
49,789,Basantpur Bo,768025
49,789,Basiapara Bo,768105
49,789,Basupali Bo,768212
49,789,Batemura Bo,768005
49,789,Batgaon Bo,768106
49,789,Baunslaga Bo,768221
49,789,Bauriguda Bo,768222
49,789,Baxma Bo,768222
49,789,Bharatapur Pssk,768106
49,789,Bhatpura Bo,768107
49,789,Bhojpur Bo,768107
49,789,Bilung Bo,768228
49,789,Binjipali Bo,768214
49,789,Birsinghgarh Bo,768105
49,789,Bishalkhinda Bo,768200
49,789,Bomaloi Bo,768212
49,789,Bss Nagar Ndt So,768001
49,789,Budharaja Lsg So,768004
49,789,Burbuda Bo,768221
49,789,Burla Mdg,768017
49,789,C.a. Chiplima So,768025
49,789,Chakuliabahal Bo,768107
49,789,Charmal Bo,768106
49,789,Chaurpur Bo,768005
49,789,Chhamunda Bo,768105
49,789,Chhatabar Bo,768228
49,789,Chinimahul Bo,768107
49,789,Chiplima So,768026
49,789,Daincha Bo,768106
49,789,Dakra Bo,768113
49,789,Dangajore Bo,768224
49,789,Dangarpara Bo,768112
49,789,Deogaon Pssk,768113
49,789,Dhama So,768113
49,789,Dhankauda Bo,768006
49,789,Dhanupali So,768005
49,789,Dhudipali Bo,768222
49,789,Engineering College Burla,768018
49,789,Fasimal Bo,768107
49,789,Fulkusum Pssk,768106
49,789,Gadgadbahal Bo,768105
49,789,Gardega Bo,768224
49,789,Garmunda Bo,768006
49,789,Garposh So,768224
49,789,Gasinapada Bo,768227
49,789,Ghichamura Bo,768212
49,789,Ghosaramal Bo,768106
49,789,Ghunghuti Bo,768221
49,789,Girischandrapur Bo,768106
49,789,Gochhara Bo,768222
49,789,Godloisingh Bo,768105
49,789,Godrapara Bo,768222
49,789,Golebazar Ndt So,768001
49,789,Gourpali So,768112
49,789,Gundurchuan Bo,768107
49,789,Hardipali Bo,768222
49,789,Hatibari Bo,768105
49,789,Hirakud Hsg-ii So,768016
49,789,J.rengali Bo,768105
49,789,Jagruti Vihar Burla So,768020
49,789,Jamadarpali Bo,768200
49,789,Jamankira So,768107
49,789,Jamujori Bo,768106
49,789,Jamumal Bo,768107
49,789,Jayantapur Bo,768112
49,789,Jharghati Colony Bo,768212
49,789,Jharuapara Ndt So,768001
49,789,Jujumura So,768105
49,789,Jyoti Vihar Burla So,768019
49,789,K. Jamankira Bo,768227
49,789,K. Jhankarpali Bo,768212
49,789,Kabrapali Bo,768112
49,789,Kabribahal Bo,768228
49,789,Kadaligarh Bo,768106
49,789,Kalamati Bo,768025
49,789,Katangapani Bo,768107
49,789,Katarbaga Bo,768212
49,789,Kechhopani Bo,768221
49,789,Kelloballam Bo,768106
49,789,Kenadhipa Bo,768214
49,789,Kesaibahal So,768228
49,789,Keshapali Bo,768105
49,789,Khalbilung Bo,768228
49,789,Khandakata Bo,768222
49,789,Kharsanmal Bo,768112
49,789,Khetrajpur So,768003
49,789,Khinda Bo,768212
49,789,Kilasama Bo,768212
49,789,Kinabaga Bo,768224
49,789,Kinaloi Bo,768214
49,789,Kindira Bo,768222
49,789,Kisinda Bo,768106
49,789,Kuchinda Mdg,768222
49,789,Kudgunderpur Pssk,768026
49,789,Kukudapali Bo,768200
49,789,Kuleigarh Bo,768222
49,789,Kulundi Bo,768112
49,789,Kuntara Bo,768227
49,789,Kurla Bo,768212
49,789,Kusumi So,768227
49,789,Kuturchuan Bo,768222
49,789,Kuturimal Bo,768221
49,789,Lad Bo,768222
49,789,Laida So,768214
49,789,Laidaguma Bo,768227
49,789,Laigura Bo,768222
49,789,Lariapali Bo,768228
49,789,Lipinda Bo,768105
49,789,Luhapank Bo,768106
49,789,M. Balanda Bo,768228
49,789,Mahalingkudar Bo,768107
49,789,Maltigunderpur Bo,768005
49,789,Maneswar Bo,768005
49,789,Medical College Burla Ndt So,768017
49,789,Mochibahal Bo,768105
49,789,Modipara So,768002
49,789,Mudhenapali Bo,768112
49,789,Mudipara,768002
49,789,N.barangamal Bo,768112
49,789,Naktideul Ed So,768118
49,789,Nuaburda Bo,768112
49,789,Nuapali Bo,768224
49,789,P. Niktimal Bo,768228
49,789,Padiabahal Bo,768112
49,789,Pankenpada Bo,768221
49,789,Parmanpur Bo,768200
49,789,Paruabhadi Bo,768222
49,789,Pindapathar Bo,768224
49,789,Purunapani Bo,768222
49,789,R.badbahal Bo,768106
49,789,R.badmal Bo,768105
49,789,Ragba Bo,768224
49,789,Rairakhol So,768106
49,789,Ramtileimal Bo,768222
49,789,Rangiatikira Bo,768221
49,789,Rasanpur Bo,768005
49,789,Remed So,768006
49,789,Rengali So,768212
49,789,Routbahal Bo,768228
