st,ct,as,sa
49,781,Ambadola,765021
49,781,Ambaguda,764055
49,781,Anchalgumma,764069
49,781,Balimela,764051
49,781,Bandhamamidi,764054
49,781,Barigumma,764056
49,781,Batasana,764060
49,781,Bhairabasinghpur,764057
49,781,Bidyadharpur,764001
49,781,Bikrampur,764062
49,781,Bissam Cuttack,765019
49,781,Boipariguda,764043
49,781,Chandahandi,764077
49,781,Chandra Sekhar Prasad,764083
49,781,Chattahandi,764083
49,781,Chitrakonda,764052
49,781,D P Camp Sunabeda-3,763003
49,781,Dabugaon,764072
49,781,Damanjodi,763008
49,781,Danganerbheja,764078
49,781,Dasmanthupur,765028
49,781,Dungriline,765028
49,781,Dyke I,764054
49,781,Dyke Iii,764053
49,781,Gandhi Nagar,765001
49,781,Gudari,765026
49,781,Gunupur,765022
49,781,Hardoli,764084
49,781,Indrapur,764085
49,781,Jalput,764041
49,781,Jayanagar (jaypore 5),764005
49,781,Jaykaypur (chandli),765017
49,781,Jaykaypur Bazar,765017
49,781,Jaypore (k) Fort,764001
49,781,Jemadeipentha,765031
49,781,Jeypore (k) Civil Court,764001
49,781,Jeypore (k) H O,764001
49,781,Jeypore (k) Irrigation,764004
49,781,Jeypore (k) R S,764002
49,781,Jeypore (k)3,764003
49,781,Jeypore-2,764002
49,781,Jharigam,764079
49,781,Kakirigumma,765030
49,781,Kalimela,764047
49,781,Kalyansinghpur,765016
49,781,Kashipur,765015
49,781,Kodinga,764075
49,781,Kolabnagar,764011
49,781,Kolanara,765012
49,781,Koraput Collectorate (kor,764022
49,781,Koraput H O,764020
49,781,Koraput Market,764020
49,781,Koraput R S,764020
49,781,Koraput Road,764001
49,781,Korkonda,764082
49,781,Kosagumuda,764061
49,781,Kotpad,764058
49,781,Kujendri,765023
49,781,Kundra,764012
49,781,Lachipeta,764049
49,781,Lakhmipur,765013
49,781,Lamptaput,764081
49,781,Machkund,764040
49,781,Malkangiri,764045
49,781,Malkangiri Colony,764048
49,781,Mathili,764044
49,781,Mirganiguda,764063
49,781,Muniguda,765020
49,781,Naira,765032
49,781,Nandapur,764037
49,781,Narayanpatna,765014
49,781,Nowrangpur,764059
49,781,Nowrangpur Bazar,764059
49,781,O M P Line Koraput,764021
49,781,Onukadeli,764042
49,781,Padmapur (k),765025
49,781,Padwa,764038
49,781,Panchabati,764046
49,781,Papadahandi,764071
49,781,Pottangi,764039
49,781,Prasadraopentha,764003
49,781,Raighar,764074
49,781,Ramanaguda,765029
49,781,Rayagada (k) 2,765002
49,781,Rayagada (k) Bazar,765001
49,781,Rayagada (k) Nagar,765001
49,781,Rayagada (k) R S,765001
49,781,Rayagada (k) Sugar Factor,765002
49,781,Rayagada H O,765001
49,781,Sector-vii Sunabeda,763002
49,781,Similiguda,764036
49,781,Sunabeda I,763001
49,781,Sunabeda Ii,763002
49,781,Taragaon,764008
49,781,Tentulikhunti,764070
49,781,Therubali,765018
49,781,Ukkamba,765024
49,781,Umerkota,764073
49,781,Umerkote Bazar,764073
49,781,A.malkangiri,764021
49,781,Almonda,764027
49,781,Ampawalli,764039
49,781,Anchala,764056
49,781,Anta,764005
49,781,Asana,764002
49,781,B.maliput,764037
49,781,Badel,764041
49,781,Badigada,764040
49,781,Bagderi,764002
49,781,Balda,764038
49,781,Balel,764041
49,781,Baligam,764043
49,781,Balipeta,764014
49,781,Bandhugam,764027
49,781,Baruaguda,764002
49,781,Batasena,764058
49,781,Benagaon,764057
49,781,Benasur,764056
49,781,Bhairabsinghpur,764057
49,781,Bhaminiput,764005
49,781,Bhansuli,764058
49,781,Bheja,764037
49,781,Bhejahandi,764002
49,781,Bhitarguda,763008
49,781,Bhusanguda,764002
49,781,Bijapur,764056
49,781,Bilangsil,765013
49,781,Bilaput,764041
49,781,Binjili,764058
49,781,Bobia,764055
49,781,Bodaput,764043
49,781,Bodigaon,764057
49,781,Borigi,764027
49,781,Borigumma,764056
49,781,Burja,765013
49,781,Champapadar,764057
49,781,Champi,765013
49,781,Chanabeda,764028
49,781,Chandili,764058
49,781,Chatwa,764038
49,781,Chendika,764039
49,781,Chikima,764043
49,781,Chipakhor,764043
49,781,Chirma,764058
49,781,Chitra,764056
49,781,"d.p.camp, Sunabeda",763003
49,781,D.padar,764036
49,781,D.paunsi,764002
49,781,Dabuguda,764003
49,781,Dambaguda,764028
49,781,Dandabadi,764043
49,781,Dasamanthpur,764028
49,781,Deoghati,764011
49,781,Deopotangi,764039
49,781,Dhamanahandi,764058
49,781,Digapur,764005
49,781,Dongerchinchi,764003
49,781,Doraguda,764043
49,781,Dudhari,764036
49,781,Dumuriput,764021
49,781,Gadiaguda,765013
49,781,Gangarajpur,764039
49,781,Garidi,764027
49,781,Ghotarla,764058
49,781,Ghumar,764005
49,781,Girla,764058
49,781,Girliguma,764028
